iter	Passed	Remaining
798	25667	6457
799	25707	6426
800	25739	6394
801	25779	6364
802	25816	6333
803	25848	6301
804	25879	6269
805	25912	6237
806	25950	6206
807	25989	6175
808	26021	6143
809	26058	6112
810	26102	6083
811	26134	6050
812	26164	6018
813	26209	5988
814	26239	5956
815	26271	5923
816	26301	5891
817	26334	5859
818	26378	5829
819	26417	5799
820	26450	5766
821	26488	5736
822	26520	5703
823	26552	5671
824	26583	5638
825	26619	5607
826	26649	5574
827	26681	5542
828	26712	5510
829	26756	5480
830	26786	5447
831	26818	5415
832	26850	5382
833	26881	5350
834	26914	5318
835	26949	5286
836	26980	5254
837	27019	5223
838	27051	5191
839	27089	5159
840	27130	5129
841	27169	5098
842	27204	5066
843	27236	5034
844	27268	5001
845	27303	4970
846	27336	4937
847	27369	4905
848	27413	4875
849	27444	4843
850	27474	4810
851	27505	4778
852	27538	4745
853	27573	4713
854	27612	4682
855	27647	4651
856	27677	4618
857	27717	4587
858	27749	4554
859	27782	4522
860	27817	4490
861	27850	4458
862	27887	4427
863	27923	4395
864	27956	4363
865	27985	4330
866	28025	4299
867	28067	4268
868	28099	4235
869	28138	4204
870	28175	4172
871	28207	4140
872	28237	4107
873	28277	4076
874	28311	4044
875	28342	4011
876	28375	3979
877	28407	3947
878	28444	3915
879	28490	3885
880	28522	3852
881	28554	3820
882	28585	3787
883	28618	3755
884	28651	3723
885	28692	3691
886	28724	3659
887	28764	3627
888	28796	3595
889	28838	3564
890	28871	3531
891	28910	3500
892	28941	3467
893	28972	3435
894	29006	3402
895	29048	3371
896	29085	3339
897	29116	3307
898	29154	3275
899	29184	3242
900	29216	3210
901	29247	3177
902	29290	3146
903	29330	3114
904	29363	3082
905	29394	3049
906	29425	3017
907	29457	2984
908	29494	2952
909	29537	2921
910	29568	2888
911	29600	2856
912	29643	2824
913	29674	2792
914	29712	2760
915	29744	2727
916	29784	2695
917	29816	2663
918	29848	2630
919	29878	2598
920	29909	2565
921	29947	2533
922	29978	2500
923	30010	2468
924	30049	2436
925	30080	2403
926	30112	2371
927	30150	2339
928	30181	2306
929	30212	2274
930	30243	2241
931	30279	2209
932	30312	2176
933	30345	2144
934	30376	2111
935	30408	2079
936	30443	2046
937	30484	2014
938	30516	1982
939	30547	1949
940	30577	1917
941	30611	1884
942	30645	1852
943	30678	1819
944	30710	1787
945	30745	1755
946	30783	1722
947	30815	1690
948	30846	1657
949	30886	1625
950	30920	1593
951	30960	1561
952	30991	1528
953	31020	1495
954	31053	1463
955	31083	1430
956	31120	1398
957	31153	1365
958	31192	1333
959	31230	1301
960	31270	1269
961	31302	1236
962	31333	1203
963	31371	1171
964	31404	1139
965	31434	1106
966	31466	1073
967	31498	1041
968	31528	1008
969	31558	976
970	31590	943
971	31626	911
972	31658	878
973	31689	845
974	31725	813
975	31756	780
976	31794	748
977	31830	716
978	31862	683
979	31899	651
980	31930	618
981	31962	585
982	31994	553
983	32025	520
984	32063	488
985	32094	455
986	32134	423
987	32165	390
988	32198	358
989	32229	325
990	32269	293
991	32301	260
992	32336	227
993	32380	195
994	32414	162
995	32458	130
996	32490	97
997	32522	65
998	32553	32
999	32591	0
